ID(original),ID,Question,Answers
AirFilter,5,Will air filters help?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will an air filter help?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will air purifers help?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will an air purifier protect from COVID-19?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will air purifer filters help?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will an air purifer prevent spreading COVID-19?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Does vacuuming get rid of the virus?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Can I filter it out?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will air filters protect from COVID-19?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will an air purifer remove the virus?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will an air filter protect from COVID-19?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will an air filter prevent spreading COVID-19?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will an air filter remove coronavirus?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will air filters remove coronavirus?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will air filters remove the virus?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will air filters prevent spreading COVID-19?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will an air filter remove the virus?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will an air purifer filter help?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will air purifiers remove coronavirus?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will an air purifier help?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will air purifiers protect from COVID-19?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will air purifers remove the virus?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will air purifiers provent spreading COVID-19?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirFilter,5,Will an air purifier remove coronavirus?,"CDC guidance continues to recommend distancing of 6 feet as this is the average distance that someone's airborne cough or sneeze typically travels. Air filters for your home are unlikely to be helpful. However if you are caring for someone who has COVID-19, wearing a mask, as well as other PPE like gloves and a gown, is essential."
AirTravel,6,How far can the the COVID-19 virus travel in the air?,"COVID-19 travel in the air mainliy via the respiratory droplets, just like the spread of influenza, then infects other person as it contacts directly with mucous membranes. The droplet typically doesn't travel more than six feet (about 2 meters) and do not linger in the air."
Airborne,7,is it airborne?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is the virus airborne?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is the virus transmitted through the air?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,How is the virus transmitted?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is coronavirus transmitted through respiratory droplets?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is SARS-CoV-2 airborne?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,How is COVID-19 transmitted?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is it in the air?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is the virus transmitted through respiratory droplets?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,How is the coronavirus transmitted?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is SARS-CoV-2 transmitted through the air?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is COVID-19 transmitted through the air?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is coronavirus transmitted through the air?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,How is SARS-CoV-2 transmitted?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is COVID-19 transmitted through respiratory droplets?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is SARS-CoV-2 ransitted through respiratory droplets?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is the virus in the air?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is coronavirus airborne?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is coronavirus in the air?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is covid airborne?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Is COVID-19 airborne,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,How is COVID-19 transmitted from person to person?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,How long is it in the air?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Why shall people stay at distance from each other to avoid spreading COVID-19?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Why shall people avoid close contact to protect themselves from COVID-19?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,Why shall people avoid crowds to protect themselves from COVID-19?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,How is SARS-COV-2 transmitted from person to person?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
Airborne,7,How is the virus transmitted from person to person?,"No. The virus that causes COVID19 is mainly transmitted in the droplets generated by infected individual. As the droplet is too heavy to hanging on the air, it can travel for about 6 feet (~ 2 meters) then quickly fall on the floors or surfaces. You can be infected by breathing in the virus with 1 meter of infected individual or by touching the contaminated surfaces then touch your eyes, nose, mouth before washing hands. Therefore, it's important to practice social distance as well as not touching eyes, nose, mouth and regularly washing hands."
AnimalGiveMeVirus,8,Can my elephant give me the virus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can cats pass on coronavirus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can cats transfer COVID-19?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can cats transfer the virus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my cat transfer COVID-19?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my cat transmit coronavirus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my cat pass on coronavirus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can cats transmit the virus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can dogs get COVID19,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can cats transfer coronavirus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can cats transmit COVID-19?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can cats pass on COVID-19?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my neighbors pets get me sick?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my pets transmit the virus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my dog give me coronavirus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can cats transfer SARS-CoV-2?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can cats spread coronavirus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my cat pass on COVID-19?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my cat spread coronavirus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my cat give me coronavirus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my cat spread COVID-19?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my cat transfer the virus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my cat transmit SARS-CoV-2?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can cats spread COVID-19?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my cat transfer coronavirus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can cats pass on the virus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can my cat transmit COVID-19?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
AnimalGiveMeVirus,8,Can cats spread the virus?,"Hmm...that seems unlikely at this point. However, the World Health Organisation (WHO) recently announced that housepets, including canines, are not susceptible to SARS-CoV-2 and thus any quarantined animals can be released. To be clear, WHO let the it out."
